"","schedule_playoff","win_loss","home_fav","schedule_season","schedule_week","spread_favorite","over_under_line","weather_wind_mph","fav_elo_diff","team_favorite_id"
"148",FALSE,"fav","home_fav",1985,11,-8,41,17,65.2013124999999,"GB"
"149",FALSE,"fav","home_fav",1985,14,-3,41,7,53.2316874999999,"ARI"
"150",FALSE,"fav","home_fav",1985,9,-7.5,37,9,163.620305555555,"LAR"
"151",FALSE,"underdog","home_fav",1985,4,-16,45,14,244.679291666667,"SF"
"152",FALSE,"fav","home_underdog",1985,14,-7,41,0,219.398708333333,"NYG"
"153",FALSE,"fav","home_fav",1985,11,-2,37,6,182.517909722222,"WAS"
"154",FALSE,"underdog","home_underdog",1985,2,0,42,8,89.1537708333335,"PICK"
"155",FALSE,"fav","home_underdog",1985,12,-4,41,12,101.123395833333,"NYG"
"156",FALSE,"underdog","home_underdog",1985,6,-2,49,11,94.6863958333333,"NYG"
"157",FALSE,"fav","home_underdog",1985,4,-5,35,5,114.501520833333,"NYG"
"158",FALSE,"fav","home_fav",1985,15,-3,42.5,11,-12.7218472222223,"DAL"
"159",TRUE,"fav","home_fav",1985,19,-9,39,8,106.41775,"CHI"
"160",FALSE,"fav","home_underdog",1985,8,-4,42,0,154.355083333333,"NYG"
"161",FALSE,"fav","home_underdog",1985,9,-3.5,39,0,169.775638888889,"NYJ"
"162",FALSE,"underdog","home_fav",1985,5,-3,50,11,-53.566951388889,"CIN"
"163",FALSE,"fav","home_underdog",1985,14,-9,36.5,15,222.638701388889,"NYJ"
"164",FALSE,"underdog","home_fav",1985,3,-4.5,41,13,-48.0343263888892,"GB"
"165",FALSE,"underdog","home_underdog",1985,13,-3.5,42.5,0,89.8047638888893,"NYJ"
"166",FALSE,"fav","home_fav",1985,1,-9,40,12,73.6256597222221,"OAK"
"167",FALSE,"underdog","home_underdog",1985,7,-2.5,42,12,-23.7836363636361,"NYJ"
"168",FALSE,"fav","home_fav",1985,10,-3.5,43.5,10,101.922736111111,"MIA"
"169",FALSE,"underdog","home_underdog",1985,10,-2.5,47,10,117.406923611111,"OAK"
"170",FALSE,"underdog","home_underdog",1985,2,-1.5,45,12,97.8097361111111,"OAK"
"171",FALSE,"fav","home_fav",1985,9,-1,42.5,0,-31.6462986111112,"SEA"
"172",FALSE,"underdog","home_fav",1985,14,-3,40.5,9,-8.77123611111097,"DEN"
"173",FALSE,"underdog","home_fav",1985,4,-1,44,9,-49.8420233585859,"NE"
"174",FALSE,"fav","home_underdog",1985,13,-7,43.5,13,249.292923611111,"OAK"
"175",FALSE,"fav","home_underdog",1985,16,-1,40,5,23.2409930555557,"OAK"
"176",FALSE,"fav","home_underdog",1985,7,-2.5,37.5,12,117.787229166667,"OAK"
"177",FALSE,"underdog","home_fav",1985,3,-14,42,9,268.827416666667,"WAS"
"178",FALSE,"fav","home_fav",1985,15,-7,50,7,29.6008125000001,"LAC"
"179",FALSE,"underdog","home_fav",1985,16,-2,39,0,-36.9036874999999,"MIN"
"180",FALSE,"underdog","home_fav",1985,11,-2.5,38,9,13.378125,"ARI"
"181",FALSE,"fav","home_fav",1985,9,-9,38,10,204.825729166667,"SF"
"182",FALSE,"fav","home_fav",1985,12,-7,37,11,101.779673611111,"DAL"
"183",FALSE,"fav","home_fav",1985,5,-3.5,36,0,-39.8535625,"NO"
"184",FALSE,"fav","home_fav",1985,1,-6,38.5,11,114.501520833333,"NYG"
"185",FALSE,"underdog","home_underdog",1985,8,-1.5,48,4,29.8380624999998,"PIT"
"186",FALSE,"fav","home_underdog",1985,11,-3,37.5,0,154.550375,"PIT"
"187",FALSE,"fav","home_fav",1985,5,-7,47.5,9,125.651625,"MIA"
"188",FALSE,"underdog","home_fav",1985,10,-1.5,38.5,13,-0.455187499999738,"KC"
"189",FALSE,"fav","home_fav",1985,16,-9,38,15,64.8483333333336,"NYG"
"190",FALSE,"fav","home_fav",1985,14,-5,49,7,-20.0523749999998,"LAC"
"191",FALSE,"underdog","home_underdog",1985,2,-1.5,41,4,20.4326805555554,"PIT"
"192",FALSE,"fav","home_fav",1985,6,-5,43,15,52.1264861111113,"DAL"
"193",FALSE,"underdog","home_underdog",1985,4,-2,47,12,66.1634374999999,"SEA"
"194",FALSE,"fav","home_fav",1985,7,-3.5,48,6,22.8750625000002,"DEN"
"195",FALSE,"fav","home_underdog",1985,1,-3,41,8,95.5463124999999,"SEA"
"196",FALSE,"fav","home_underdog",1985,2,-4,46,8,85.7606249999999,"SEA"
"197",FALSE,"fav","home_fav",1985,15,-4.5,42,7,31.6462986111112,"OAK"
"198",FALSE,"fav","home_underdog",1985,10,-6.5,41.5,0,155.215,"SEA"
"199",FALSE,"fav","home_fav",1985,8,-3,41,14,-41.9793611111108,"NYJ"
"200",FALSE,"fav","home_fav",1985,12,-6,43,10,89.4642916666667,"SF"
"201",TRUE,"underdog","home_underdog",1985,18,-3,51,10,90.3242083333332,"SF"
"202",FALSE,"fav","home_underdog",1985,13,-3.5,40,12,43.6351875,"SF"
"203",FALSE,"underdog","home_underdog",1985,1,-11,46,0,241.729416666667,"SF"
"204",FALSE,"fav","home_underdog",1985,3,-3,47,9,57.8179930555555,"SF"
"205",FALSE,"fav","home_underdog",1985,15,-10,43,0,244.679291666667,"SF"
"206",FALSE,"fav","home_underdog",1985,5,-11,47,11,307.110916666667,"SF"
"207",FALSE,"underdog","home_underdog",1985,10,-2.5,40,5,66.5892291666664,"SF"
"208",FALSE,"fav","home_underdog",1985,8,-1,38.5,8,81.0589861111112,"SF"
"209",FALSE,"underdog","home_underdog",1985,7,-10.5,46.5,0,221.248416666667,"SF"
"210",FALSE,"fav","home_fav",1985,9,-12,46,21,237.945770833333,"NYG"
"211",FALSE,"fav","home_fav",1985,13,-6.5,44.5,21,148.792,"GB"
"212",FALSE,"fav","home_fav",1985,14,-6.5,45,0,86.5405625000001,"MIN"
"213",FALSE,"fav","home_fav",1985,11,-9.5,42,16,196.826326388889,"NYJ"
"214",FALSE,"fav","home_fav",1985,3,-2.5,43,0,83.5906875000001,"NO"
"215",FALSE,"fav","home_fav",1985,4,-4,42,0,107.0215625,"DET"
"216",FALSE,"fav","home_fav",1985,1,-7.5,39,10,344.363520833333,"CHI"
"217",FALSE,"fav","home_fav",1985,7,-13,46,12,298.7490625,"MIA"
"218",FALSE,"fav","home_fav",1985,5,-8,43.5,7,243.1336875,"DEN"
"219",FALSE,"underdog","home_underdog",1985,10,-2.5,37.5,14,44.3594375,"TEN"
"220",FALSE,"fav","home_fav",1985,15,-10,36.5,20,134.117694444444,"CLE"
"221",FALSE,"fav","home_fav",1985,13,-7.5,43,17,124.7123125,"CIN"
"222",FALSE,"fav","home_fav",1985,2,-10,46.5,8,199.248104166667,"WAS"
